gameId,teamId,id,name,2nd_assists,assists,goals,blocks,tas,drops,touches
49213,9670,45952,Cat Pelletier,0,3,3,3,1,1,15
49213,9670,51167,Patrick Russell,0,2,2,2,1,2,6
49213,9670,56157,Tess King,1,1,0,0,2,1,17
49213,9670,62953,Grace Uy,0,0,1,0,3,0,4
49213,9670,20401,Robert Botman,0,0,0,0,1,0,6
49213,9670,56003,Gavin Ho,0,1,1,0,1,1,11
49213,9670,37147,James Shimoda,3,0,1,1,3,0,3
49213,9670,56678,Thalia Huen,0,0,0,0,0,0,3
49213,9670,51259,Larry Cheung,3,4,2,1,2,0,17
49213,9670,48512,Dylan Cattanach,2,8,2,1,2,0,15
49213,9670,61028,Jonathan Steinberg,3,3,4,0,3,1,12
49213,9670,24893,Helen O'Sullivan,1,0,3,1,0,1,3
49213,9670,62402,Vanessa Mensink,1,1,4,1,0,0,5
49213,9670,45782,Brittany Heath,0,0,0,0,0,2,0
49215,9672,26828,Gary Paskewich,1,2,1,1,1,0,17
49215,9672,28360,Wendy Chong,1,0,0,1,5,0,16
49215,9672,53663,Erin Stevenson,0,0,0,0,0,1,3
49215,9672,54794,Evan Edgell,1,3,1,1,3,0,13
49215,9672,51686,Eileen Lam,2,3,1,0,2,0,6
49215,9672,47365,Jamie Hoo-fatt,0,1,0,1,3,0,12
49215,9672,61272,Chris Wang,2,0,0,3,0,0,12
49215,9672,55830,Brandon Duong,0,1,5,1,2,1,5
49215,9672,26174,Cynthia Walker,3,0,1,0,1,0,8
49215,9672,60752,Jj Gerstein,1,2,1,0,2,1,3
49215,9672,49336,Joyce Ma,0,1,0,0,2,1,5
49215,9672,52025,Cielle Garbe,0,0,4,0,0,0,1
49215,9672,39884,Raymond Tang,0,1,0,0,1,0,8
49215,9672,45965,Ricky Truong,1,0,1,0,1,1,4
49212,9669,51686,Eileen Lam,0,0,4,3,1,1,5
49212,9669,24867,Matthew Denton,1,2,0,2,3,0,24
49212,9669,38372,Ed Kung,1,0,0,1,3,0,10
49212,9669,26174,Cynthia Walker,1,0,0,0,3,1,4
49212,9669,56229,Jasper Zhu,0,1,1,0,3,2,14
49212,9669,55266,Daniel Chua,0,2,1,1,3,0,7
49212,9669,56157,Tess King,4,0,0,1,4,0,8
49212,9669,61482,Coby Zucker,0,2,2,3,3,0,10
49212,9669,58197,Xueying Fu,0,1,1,2,2,1,7
